season,time,valid_time,t2m
autumn,00:00,2022-10-16 00:00:00.000000000,10.19963159120879
autumn,00:01,2022-10-16 00:01:00.000000256,10.197633763736263
autumn,00:02,2022-10-16 00:02:00.000000000,10.195636013186814
autumn,00:03,2022-10-16 00:03:00.000000000,10.193638226373627
autumn,00:04,2022-10-16 00:04:00.000000000,10.191640396703297
autumn,00:05,2022-10-16 00:05:00.000000000,10.189642593406594
autumn,00:06,2022-10-16 00:05:59.999999744,10.187644828571429
autumn,00:07,2022-10-16 00:07:00.000000000,10.185647076923077
autumn,00:08,2022-10-16 00:07:59.999999744,10.183649156043955
autumn,00:09,2022-10-16 00:09:00.000000000,10.181651372527472
autumn,00:10,2022-10-16 00:10:00.000000256,10.179653645054945
autumn,00:11,2022-10-16 00:11:00.000000000,10.177655856043955
autumn,00:12,2022-10-16 00:12:00.000000000,10.175658026373625
autumn,00:13,2022-10-16 00:13:00.000000000,10.173660196703295
autumn,00:14,2022-10-16 00:14:00.000000000,10.171662438461539
autumn,00:15,2022-10-16 00:14:59.999999744,10.169664682417581
autumn,00:16,2022-10-16 00:16:00.000000000,10.16766691978022
autumn,00:17,2022-10-16 00:17:00.000000256,10.165669092307693
autumn,00:18,2022-10-16 00:18:00.000000000,10.163671247252747
autumn,00:19,2022-10-16 00:19:00.000000000,10.161673476923077
autumn,00:20,2022-10-16 00:20:00.000000000,10.159675686813188
autumn,00:21,2022-10-16 00:21:00.000000000,10.157677918681319
autumn,00:22,2022-10-16 00:21:59.999999744,10.155680153846154
autumn,00:23,2022-10-16 00:23:00.000000000,10.153682271428572
autumn,00:24,2022-10-16 00:24:00.000000256,10.151684464835164
autumn,00:25,2022-10-16 00:25:00.000000000,10.149686717582417
autumn,00:26,2022-10-16 00:26:00.000000256,10.14768889010989
autumn,00:27,2022-10-16 00:27:00.000000000,10.145691097802198
autumn,00:28,2022-10-16 00:28:00.000000000,10.143693278021978
autumn,00:29,2022-10-16 00:29:00.000000000,10.141695472527472
autumn,00:30,2022-10-16 00:30:00.000000000,10.139697712087912
autumn,00:31,2022-10-16 00:30:59.999999744,10.137699942857143
autumn,00:32,2022-10-16 00:32:00.000000000,10.135702121978023
autumn,00:33,2022-10-16 00:33:00.000000256,10.133704321978023
autumn,00:34,2022-10-16 00:34:00.000000000,10.131706632967033
autumn,00:35,2022-10-16 00:35:00.000000000,10.129708697802197
autumn,00:36,2022-10-16 00:36:00.000000000,10.127710976923076
autumn,00:37,2022-10-16 00:37:00.000000000,10.125713223076923
autumn,00:38,2022-10-16 00:37:59.999999744,10.123715278021978
autumn,00:39,2022-10-16 00:39:00.000000000,10.121717553846155
autumn,00:40,2022-10-16 00:39:59.999999744,10.119719792307691
autumn,00:41,2022-10-16 00:41:00.000000000,10.117721953846154
autumn,00:42,2022-10-16 00:42:00.000000256,10.115724182417582
autumn,00:43,2022-10-16 00:43:00.000000000,10.11372636043956
autumn,00:44,2022-10-16 00:44:00.000000000,10.111728578021978
autumn,00:45,2022-10-16 00:45:00.000000000,10.109730779120879
autumn,00:46,2022-10-16 00:46:00.000000000,10.107733021978023
autumn,00:47,2022-10-16 00:46:59.999999744,10.105735274725275
autumn,00:48,2022-10-16 00:48:00.000000000,10.103737387912089
autumn,00:49,2022-10-16 00:49:00.000000256,10.101739631868131
autumn,00:50,2022-10-16 00:50:00.000000000,10.099741827472528
autumn,00:51,2022-10-16 00:51:00.000000000,10.097744075824176
autumn,00:52,2022-10-16 00:52:00.000000000,10.09574629010989
autumn,00:53,2022-10-16 00:53:00.000000000,10.093748447252747
autumn,00:54,2022-10-16 00:53:59.999999744,10.091750598901099
autumn,00:55,2022-10-16 00:55:00.000000000,10.089752840659342
autumn,00:56,2022-10-16 00:56:00.000000256,10.087755021978023
autumn,00:57,2022-10-16 00:57:00.000000000,10.085757262637363
autumn,00:58,2022-10-16 00:58:00.000000256,10.08375947032967
autumn,00:59,2022-10-16 00:59:00.000000000,10.08176169010989
autumn,01:00,2022-10-16 01:00:00.000000000,10.079763873626373
autumn,01:01,2022-10-16 01:01:00.000000000,10.07818128901099
autumn,01:02,2022-10-16 01:02:00.000000000,10.07659856043956
autumn,01:03,2022-10-16 01:02:59.999999744,10.07501588131868
autumn,01:04,2022-10-16 01:04:00.000000000,10.073433246153845
autumn,01:05,2022-10-16 01:05:00.000000256,10.071850527472527
autumn,01:06,2022-10-16 01:06:00.000000000,10.070267873626374
autumn,01:07,2022-10-16 01:07:00.000000000,10.068685264835164
autumn,01:08,2022-10-16 01:08:00.000000000,10.067102487912088
autumn,01:09,2022-10-16 01:09:00.000000000,10.065519916483517
autumn,01:10,2022-10-16 01:09:59.999999744,10.063937246153847
autumn,01:11,2022-10-16 01:11:00.000000000,10.062354579120878
autumn,01:12,2022-10-16 01:11:59.999999744,10.060771895604395
autumn,01:13,2022-10-16 01:13:00.000000000,10.059189209890109
autumn,01:14,2022-10-16 01:14:00.000000256,10.057606532967032
autumn,01:15,2022-10-16 01:15:00.000000000,10.056023872527472
autumn,01:16,2022-10-16 01:16:00.000000000,10.054441294505494
autumn,01:17,2022-10-16 01:17:00.000000000,10.052858575824176
autumn,01:18,2022-10-16 01:18:00.000000000,10.05127588901099
autumn,01:19,2022-10-16 01:18:59.999999744,10.049693216483517
autumn,01:20,2022-10-16 01:20:00.000000000,10.048110528571428
autumn,01:21,2022-10-16 01:21:00.000000256,10.046527856043955
autumn,01:22,2022-10-16 01:22:00.000000000,10.04494526923077
autumn,01:23,2022-10-16 01:23:00.000000000,10.043362554945055
autumn,01:24,2022-10-16 01:24:00.000000000,10.041779921978023
autumn,01:25,2022-10-16 01:25:00.000000000,10.04019726043956
autumn,01:26,2022-10-16 01:25:59.999999744,10.038614590109889
autumn,01:27,2022-10-16 01:27:00.000000000,10.037031896703297
autumn,01:28,2022-10-16 01:28:00.000000256,10.035449242857144
autumn,01:29,2022-10-16 01:29:00.000000000,10.033866494505494
autumn,01:30,2022-10-16 01:30:00.000000256,10.032283892307692
autumn,01:31,2022-10-16 01:31:00.000000000,10.030701301098901
autumn,01:32,2022-10-16 01:32:00.000000000,10.029118578021977
autumn,01:33,2022-10-16 01:33:00.000000000,10.027535863736263
autumn,01:34,2022-10-16 01:34:00.000000000,10.025953238461538
autumn,01:35,2022-10-16 01:34:59.999999744,10.024370543956044
autumn,01:36,2022-10-16 01:36:00.000000000,10.022787861538461
autumn,01:37,2022-10-16 01:37:00.000000256,10.021205294505494
autumn,01:38,2022-10-16 01:38:00.000000000,10.019622515384615
autumn,01:39,2022-10-16 01:39:00.000000000,10.018039935164836
autumn,01:40,2022-10-16 01:40:00.000000000,10.016457178021978
autumn,01:41,2022-10-16 01:41:00.000000000,10.014874606593407
autumn,01:42,2022-10-16 01:41:59.999999744,10.013291897802198
